name,start datetime,venue names,attractions names,public start datetime,public end datetime,presales start datetime,presales end datetime,url,artist,id,price ranges,ticket limit,timezone,TBA,TBD
Hamilton (NY),2022-06-29 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-29 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-29-2022/event/03005AA3A2E1212A,K8vZ917K2sV,vvG1GZpnCxz37n,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-06-28 16:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-28 15:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-28-2022/event/03005AA3A2E02127,K8vZ917K2sV,vvG1GZpnCxze7E,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-06-25 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-25 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-25-2022/event/03005AA3A47A3951,K8vZ917K2sV,vvG1GZpnC0rNPo,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-12 16:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-12 15:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-12-2022/event/03005AA3A2E32139,K8vZ917K2sV,vvG1GZpnCxzw7y,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-06-26 12:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-26 11:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-26-2022/event/03005AA3A47A3953,K8vZ917K2sV,vvG1GZpnC0rNPK,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-06-17 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-17 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-17-2022/event/03005AA3A4763945,K8vZ917K2sV,vvG1GZpnC0qNPA,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-06-16 16:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-16 15:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-16-2022/event/03005AA3A2DE1FAB,K8vZ917K2sV,vvG1GZpnCxM-Xl,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-10 12:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-10 11:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-10-2022/event/03005AA3A47E3964,K8vZ917K2sV,vvG1GZpnC0LNP0,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-06-15 17:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-06-15 16:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-06-15-2022/event/03005AA3A2DE1FA9,K8vZ917K2sV,vvG1GZpnCxM-Xt,"min: 149.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-02 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-02 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-02-2022/event/03005AA3A47B3957,K8vZ917K2sV,vvG1GZpnC0rSP9,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
Hamilton (NY),2022-07-23 11:00:00,Richard Rodgers Theatre,Hamilton (NY),2022-02-03 07:00:00,2022-07-23 10:00:00,,,https://www.ticketmaster.com/hamilton-ny-new-york-new-york-07-23-2022/event/03005AA3A4803970,K8vZ917K2sV,vvG1GZpnC0OdPY,"min: 159.0 USD, max: 249.0 USD",There is an 8 ticket limit per order. Maximum aggregate ticket limit for performances 6/7/22 - 1/1/23 is 8 tickets.,America/New_York,False,False
