Date,User,Tweet,Discord,Url
2022-03-01 09:11:01,foodstampfamine,one day maybe i will show u my shakira impression,,https://twitter.com/foodstampfamine/status/1498586595955515394
2022-03-01 09:10:47,stoneycalhoun,I’m the youngest old man that ya know but my soul keeps burning n it glows I can tell people love it for the wrong reasons bc Ive grown to notice when the leeches show,,https://twitter.com/stoneycalhoun/status/1498586536866193409
2022-03-01 09:08:53,sunhlowers,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/sunhlowers/status/1498586057645903873
2022-03-01 09:04:23,Shereen1817,"RT @mechuja88: @cryptomanran next time you are giving out BB2 you should give it to @Shereen1817. She is literally everywhere, every show,…",,https://twitter.com/Shereen1817/status/1498584925762695170
2022-03-01 09:03:33,mechuja88,"@cryptomanran next time you are giving out BB2 you should give it to @Shereen1817. She is literally everywhere, every show, every post you, @Sheldon_Sniper, @milesdeutscher  or @HustlepediaYT post. \nYou are giving to true supporters. She is 💯\n\nLove you all \nU2 @producer_fred ;)",,https://twitter.com/mechuja88/status/1498584715623907328
2022-03-01 09:02:32,TedTootill,RT @saddaysarehere: Thank god we have Boris to lead us and are not ruled by journalists . ? Being asked Like why aren’t we enforcing a No f…,,https://twitter.com/TedTootill/status/1498584461004398595
2022-03-01 09:00:42,Choksha3,RT @Cheamane: The Game is going viral for down playing Dr. Dre's role in his career compared to his recent interactions with Kanye.\n\nThere'…,,https://twitter.com/Choksha3/status/1498584000012513284
2022-03-01 09:00:19,WNJRadioNYC,Now Playing: California Love (Extended) (Clean) by 2Pac f. Dr. Dre &amp; Roger Troutman https://t.co/5kT7kvKs41\n Buy song https://t.co/KK31CrBtZE https://t.co/caKkPD1lYc,,https://twitter.com/WNJRadioNYC/status/1498583904500002816
2022-03-01 08:56:34,Grimmo47,RT @saddaysarehere: Thank god we have Boris to lead us and are not ruled by journalists . ? Being asked Like why aren’t we enforcing a No f…,,https://twitter.com/Grimmo47/status/1498582959259103232
2022-03-01 08:54:25,strongforlou28,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/strongforlou28/status/1498582417161994242
2022-03-01 08:53:55,informers1,"@U2santos @PadraicToolan @U2 That was epic, that Sydney show!!!\n\n#U2",,https://twitter.com/informers1/status/1498582292306051076
2022-03-01 08:50:19,Jowiii88663194,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/Jowiii88663194/status/1498581386709532674
2022-03-01 08:48:30,arseblagger,"Bloody hell, now if you show concern for the people of Ukraine, you have to declare why you care about them because the assumption from some is that you don't care about some other people, because they are the wrong colour. We don't have to make everything about race.",,https://twitter.com/arseblagger/status/1498580927609507844
2022-03-01 08:47:34,mawatles,"Why if you guys @myNSFAS don't want to funds us say so...Why should you beat about the bush if we are not qualified. Stop playing with our feelings because we are not robots, we are real people.",,https://twitter.com/mawatles/status/1498580692841771017
2022-03-01 08:47:26,drewuncover,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/drewuncover/status/1498580661682282497
2022-03-01 08:46:01,2boobear8,"RT @rtlwtnouis: Flipping him off, throwing things at him, bringing Larry signs to his shows, singing other songs before/after his shows, is…",,https://twitter.com/2boobear8/status/1498580304726003712
